codanum,autovpkcodastr,autovbycoda,mismatchN,mismatchpct,meandist_pk1,meandist_pk2,meandiff_pk1,meandiff_pk2,focal,whale,codatype,Duration,handv,URN,AIS_Data
4933,iiiii,i,0,0.0,175.78125,117.1875,175.78125,58.59375,True,ATWOOD,1+1+3,0.89825,i,0,0
4934,iiiii,i,0,0.0,175.78125,175.78125,175.78125,117.1875,True,ATWOOD,1+1+3,0.865575,i,0,0
4935,iiiii,i,0,0.0,0.0,234.375,0.0,58.59375,True,ATWOOD,1+1+3,0.8583166,i,0,0
4936,iiiii,i,0,0.0,58.59375,117.1875,117.1875,58.59375,True,ATWOOD,1+1+3,0.8619416,i,0,0
4937,iiiii,i,0,0.0,0.0,0.0,0.0,0.0,True,ATWOOD,1+1+3,0.838825,i,0,0
4938,iiiii,i,0,0.0,0.0,0.0,0.0,0.0,True,ATWOOD,1+1+3,0.8447333,i,0,0
4939,iiiii,i,0,0.0,117.1875,175.78125,58.59375,58.59375,True,ATWOOD,1+1+3,0.8275417,i,0,0
4940,iiiii,i,0,0.0,175.78125,58.59375,58.59375,58.59375,True,ATWOOD,1+1+3,0.8468334,i,0,0
4941,iiiii,i,0,0.0,234.375,175.78125,58.59375,58.59375,True,ATWOOD,1+1+3,1.0484083,i,0,0
4942,iiiii,i,0,0.0,351.5625,58.59375,117.1875,117.1875,True,ATWOOD,1+1+3,0.9956333,i,0,0
4943,iiiii,i,0,0.0,234.375,234.375,58.59375,58.59375,True,ATWOOD,1+1+3,0.9803084,i,0,0
4944,iiiii,i,0,0.0,0.0,117.1875,0.0,58.59375,True,ATWOOD,1+1+3,0.9525416,i,0,0
4945,iiiii,i,0,0.0,234.375,58.59375,234.375,58.59375,True,ATWOOD,1+1+3,1.0598584,i,0,0
4946,iiiii,i,0,0.0,117.1875,58.59375,234.375,58.59375,True,ATWOOD,1+1+3,1.0668667,i,0,0
4947,iiiii,i,0,0.0,0.0,0.0,0.0,0.0,True,ATWOOD,1+1+3,1.0691167,i,0,0
4948,iiiii,i,0,0.0,175.78125,0.0,175.78125,0.0,True,ATWOOD,1+1+3,1.0382417,i,0,0
4949,iiiii,i,0,0.0,0.0,117.1875,0.0,117.1875,True,ATWOOD,1+1+3,0.9752834,i,0,0
4958,iiiii,i,0,0.0,0.0,58.59375,0.0,58.59375,True,ATWOOD,1+1+3,0.8768083,i,0,0
4959,iiiii,i,0,0.0,0.0,58.59375,0.0,117.1875,True,ATWOOD,1+1+3,0.8888416,i,0,0
4960,iiiiii,i,0,0.0,281.25,515.625,562.5,375.0,True,ATWOOD,6-NOISE,1.060625,i,0,0
4985,aaaaaaaaa,a,0,0.0,146.484375,,117.1875,,True,ATWOOD,9i,0.39305,a,0,1
4986,aaaaaaaa,a,0,0.0,200.89285714285714,,33.482142857142854,,True,ATWOOD,8i,0.3561833,a,0,1
4987,aaaaa,a,0,0.0,0.0,,0.0,,True,ATWOOD,5R1,0.3098333,a,0,1
4988,aaaaa,a,0,0.0,117.1875,,58.59375,,True,ATWOOD,5R1,0.341425,a,0,1
4989,aaaaaa,a,0,0.0,93.75,,140.625,,True,ATWOOD,6i,0.3734917,a,0,1
4990,aaaaa,a,0,0.0,234.375,,58.59375,,True,ATWOOD,5R1,0.3405417,a,0,1
4991,aaaaa,a,0,0.0,58.59375,,117.1875,,True,ATWOOD,5R1,0.3358584,a,0,1
4992,aaaaa,a,0,0.0,58.59375,,117.1875,,True,ATWOOD,5R1,0.3282583,a,0,1
4993,aaaaa,a,0,0.0,292.96875,,175.78125,,True,ATWOOD,5R1,0.3341,a,0,1
4994,aaaaa,a,0,0.0,468.75,,117.1875,,True,ATWOOD,5R1,0.317175,a,0,1
4995,aaaaaa,a,0,0.0,281.25,,140.625,,True,ATWOOD,6i,0.390875,a,0,1
4996,aaaaa,a,0,0.0,0.0,,0.0,,True,ATWOOD,5R1,0.3297916,a,0,1
4997,aaaaa,a,0,0.0,0.0,,0.0,,True,ATWOOD,5R1,0.3384333,a,0,1
4998,aaaaa,a,0,0.0,58.59375,,117.1875,,True,ATWOOD,5R1,0.3479833,a,0,1
4999,aaaaaa,a,0,0.0,281.25,,140.625,,True,ATWOOD,6i,0.4075167,a,0,1
5012,aaaaaa,a,0,0.0,140.625,,140.625,,True,ATWOOD,6i,0.419425,a,0,1
5013,aaaaa,a,0,0.0,234.375,,58.59375,,True,ATWOOD,5R1,0.3266,a,0,1
5014,aaaaa,a,0,0.0,468.75,,117.1875,,True,ATWOOD,5-NOISE,0.3596916,a,0,1
5015,aaaaaa,a,0,0.0,281.25,,140.625,,True,ATWOOD,6i,0.3793583,a,0,1
5018,iiiiii,i,0,0.0,140.625,140.625,93.75,93.75,True,ATWOOD,6-NOISE,1.2175333,i,0,1
5019,iiiii,i,0,0.0,234.375,175.78125,58.59375,58.59375,True,ATWOOD,1+1+3,1.031875,i,0,1
5020,iiiii,i,0,0.0,175.78125,234.375,117.1875,58.59375,True,ATWOOD,1+1+3,0.9328,i,0,1
5021,iiiii,i,0,0.0,0.0,117.1875,0.0,117.1875,True,ATWOOD,1+1+3,0.9238417,i,0,1
5022,iiiia,?,1,0.2,0.0,,0.0,,True,ATWOOD,1+1+3,0.9870084,i,0,1
5023,iiiaa,?,2,0.4,0.0,,0.0,,True,ATWOOD,1+1+3,0.9885917,i,0,1
5024,iiiii,i,0,0.0,58.59375,0.0,117.1875,0.0,True,ATWOOD,1+1+3,0.9898417,i,0,1
5025,iiiiia,?,1,0.16666666666666666,140.625,,140.625,,True,ATWOOD,6-NOISE,1.2446417,i,0,1
5026,iiiii,i,0,0.0,58.59375,410.15625,117.1875,117.1875,True,ATWOOD,1+1+3,1.1383333,i,0,1
5027,iiiii,i,0,0.0,0.0,0.0,0.0,0.0,True,ATWOOD,1+1+3,1.13705,i,0,1
5028,iiiii,i,0,0.0,0.0,175.78125,0.0,175.78125,True,ATWOOD,1+1+3,1.1143331,i,0,1
5029,iiiii,i,0,0.0,175.78125,175.78125,58.59375,58.59375,True,ATWOOD,1+1+3,1.0642667,i,0,1
5030,iiiaa,?,2,0.4,0.0,,0.0,,True,ATWOOD,1+1+3,1.0549583,i,0,1
5031,aaaaaaaa,a,0,0.0,100.44642857142857,,66.96428571428571,,True,ATWOOD,8D,1.4049917,a,0,1
5036,iiiii,i,0,0.0,58.59375,58.59375,117.1875,117.1875,True,ATWOOD,1+1+3,0.90795,i,0,1
5037,iiiii,i,0,0.0,0.0,117.1875,0.0,58.59375,True,ATWOOD,1+1+3,0.8891166,i,0,1
5038,iiiii,i,0,0.0,410.15625,117.1875,117.1875,175.78125,True,ATWOOD,1+1+3,0.8545083,i,0,1
5039,iiiii,i,0,0.0,0.0,0.0,0.0,0.0,True,ATWOOD,1+1+3,0.8804833,i,0,1
5040,aaaaa,a,0,0.0,0.0,,0.0,,True,ATWOOD,1+1+3,0.8843917,i,0,1
5041,iaaaa,?,1,0.2,175.78125,,234.375,,True,ATWOOD,1+1+3,0.8801833,,0,1
5063,aaaaaa,a,0,0.0,984.375,,281.25,,True,ATWOOD,6i,0.4051,a,0,1
5064,aaaaa,a,0,0.0,468.75,,117.1875,,True,ATWOOD,5R1,0.3193417,a,0,1
5065,aaaaa,a,0,0.0,937.5,,234.375,,True,ATWOOD,5R1,0.3226834,a,0,1
5066,aaaaaa,a,0,0.0,796.875,,234.375,,True,ATWOOD,6i,0.3707417,a,0,1
5067,aaaaa,a,0,0.0,117.1875,,175.78125,,True,ATWOOD,5R1,0.3498417,a,0,1
5068,aaaaa,a,0,0.0,410.15625,,175.78125,,True,ATWOOD,5-NOISE,0.4289,a,0,1
5069,aaaaa,a,0,0.0,234.375,,58.59375,,True,ATWOOD,5R1,0.3549083,a,0,1
5070,aaaaa,a,0,0.0,234.375,,58.59375,,True,ATWOOD,5R1,0.361125,a,0,1
5071,aaaaa,a,0,0.0,0.0,,0.0,,True,ATWOOD,5R1,0.3395083,a,0,1
5072,aaaaa,a,0,0.0,234.375,,58.59375,,True,ATWOOD,5R1,0.38335,a,0,1
5073,aaaaaa,a,0,0.0,0.0,,0.0,,True,ATWOOD,6i,0.3901584,a,0,1
5074,aaaaa,a,0,0.0,58.59375,,58.59375,,True,ATWOOD,5-NOISE,0.4190967,a,0,1
5086,aaaaaa,a,0,0.0,0.0,,0.0,,True,ATWOOD,6-NOISE,1.040589,a,0,1
5087,aaaaaa,a,0,0.0,140.625,,140.625,,True,ATWOOD,6-NOISE,1.2605093,a,0,1
5088,aaaaaaaaaa,a,0,0.0,26.041666666666668,,52.083333333333336,,True,ATWOOD,10R,1.8615024,a,0,1
5089,aiiii,?,1,0.2,0.0,,0.0,,True,ATWOOD,1+1+3,0.8975,i,0,1
5090,aiaii,?,2,0.4,0.0,,0.0,,True,ATWOOD,1+1+3,0.9174917,i,0,1
5091,aaaaa,a,0,0.0,0.0,,0.0,,True,ATWOOD,1+1+3,0.9704917,a,0,1
5092,aaaaa,a,0,0.0,175.78125,,58.59375,,True,ATWOOD,1+1+3,1.0154607,a,0,1
5093,aaaaa,a,0,0.0,117.1875,,117.1875,,True,ATWOOD,1+1+3,1.1311156,a,0,1
5094,iaaaa,?,1,0.2,2285.15625,,644.53125,,True,ATWOOD,1+1+3,1.1443636,a,0,1
5095,aaaaa,a,0,0.0,117.1875,,58.59375,,True,ATWOOD,1+1+3,1.2213475,a,0,1
5096,aaaaa,a,0,0.0,117.1875,,58.59375,,True,ATWOOD,1+1+3,1.2376598,a,0,1
5119,aaaaa,a,0,0.0,0.0,,0.0,,True,ATWOOD,1+1+3,1.2470963,a,0,1
5120,aaaaa,a,0,0.0,234.375,,58.59375,,True,ATWOOD,1+1+3,1.2423655,a,0,1
5121,aaaaa,a,0,0.0,58.59375,,117.1875,,True,ATWOOD,1+1+3,1.2840083,a,0,1
5122,aaaaa,a,0,0.0,0.0,,0.0,,True,ATWOOD,1+1+3,1.2476267,a,0,1
5123,aaaaa,a,0,0.0,234.375,,58.59375,,True,ATWOOD,1+1+3,1.20455,a,1,-1
5124,aaaaa,a,0,0.0,351.5625,,117.1875,,True,ATWOOD,1+1+3,1.3499,a,1,-1
5125,aaaaa,a,0,0.0,58.59375,,117.1875,,True,ATWOOD,1+1+3,1.4196084,a,1,-1
5126,aaaaa,a,0,0.0,234.375,,58.59375,,True,ATWOOD,1+1+3,1.3377519,a,1,-1
5127,aaaaaa,a,0,0.0,234.375,,93.75,,True,ATWOOD,6-NOISE,0.9990958,a,1,-1
5128,aaaaaaaa,a,0,0.0,200.89285714285714,,133.92857142857142,,True,ATWOOD,8D,1.6578432,i,1,-1
5129,aaaaaaa,a,0,0.0,78.125,,117.1875,,True,ATWOOD,7D2,1.4578167,i,1,-1
